方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
香薷散,祛暑剂,香薷：去土，10g；白扁豆：微炒，5g；厚朴：去粗皮姜汁炙熟，5g；
新加香薷饮,祛暑剂,香薷：，6g；金银花：，9g；鲜扁豆花：，9g；厚朴：，6g；连翘：，6g；
六一散,祛暑剂,滑石：，18g；甘草：，3g；
益元散,祛暑剂,辰砂：，1g；滑石：，18g；甘草：，3g；
碧玉散,祛暑剂,滑石：，18g；甘草：，3g；青黛：，9g；
鸡苏散,祛暑剂,滑石：，18g；甘草：，3g；薄荷叶：末，6g；
桂苓甘露散,祛暑剂,茯苓：去皮，30g；甘草：炙，60g；白术：，15g；泽泻：，30g；桂：去皮，15g；石膏：，60g；寒水石：，60g；滑石：，120g；猪苓：，15g；
清暑益气汤,祛暑剂,西洋参：，5g；石斛：，15g；麦冬：，9g；黄连：，3g；竹叶：，6g；荷梗：，15g；知母：，6g；甘草：，3g；粳米：，15g；西瓜翠衣：，30g；
清暑益气汤,祛暑剂,黄芪：，4.5g；苍术：泔浸去皮，4.5g;升麻：，3g；人参：去芦，2g；白术：，2g；橘皮：，2g；神曲：炒，2g；泽泻：，2g；甘草：炙，2g；黄柏：酒浸，2g；当归身：，2g；麦门冬：去心，2g；青皮：去白，2g；葛根：，2g；五味子：，2g；
温中祛寒剂,温里剂,"人参：捣筛，蜜和为丸,9g；干姜：捣筛，蜜和为丸,9g；炙甘草：捣筛，蜜和为丸,9g；白术：捣筛，蜜和为丸,9g；"
附子理中丸,温里剂,"附子：炮，去皮、脐，9g；人参：去芦，9g；干姜：炮，9g；甘草：炙，9g；白术：,9g；"
桂枝人参汤,温里剂,桂枝：别切，12g；甘草：炙，9g；白术：，9g；人参：，9g；干姜：，9g；
小建中汤,温里剂,桂枝：去皮，9g；甘草：炙，6g；大枣：擘，6枚；芍药：，18g；生姜：切，9g；胶饴：，30g；
黄芪建中汤,温里剂,桂枝：去皮，9g；甘草：炙，6g；大枣：擘，6枚；芍药：，18g；生姜：切，9g；胶饴：，30g；黄芪：5g；
